Wavelength_nm_,n__mid__15,n__mid__14,n__mid__13,n__mid__10,n__mid__12,n__mid__11,n__mid__9,n__mid__8,n__mid__7,n__mid__6,n__mid__5,n__mid__4,n__mid__3,n__mid__2,n__mid__1,n__mid__0
1350,0.890415776275,0.8867014301862,0.857178587027,0.7012460496253,0.8373376157284,0.77727103206,0.6156483151878,0.5153580730781,0.4113947864233,0.3125614871763,0.2323748634826,0.157313582278,0.1012066747991,0.06917568754743,0.0441770535429,0.03702433718918
1357.14285714286,0.895113464742953,0.888139694955278,0.859248966163381,0.697865444729535,0.835155046831313,0.773984688725641,0.610475112934976,0.510547915208472,0.407614816029245,0.308874475098768,0.229015312396845,0.1550422746015,0.0991386429346938,0.0671771743198221,0.0429444434309218,0.0363021475223874
1364.28571428571,0.899689849852908,0.889600393829277,0.861267888670044,0.694541473769816,0.833026424355084,0.77078316925521,0.60543127704189,0.50584743717333,0.403894334299372,0.305267694198482,0.22570802611529,0.152782929514325,0.0970752578527423,0.0651795659655614,0.0416834884409638,0.0355504651182356
1371.42857142857,0.904124137260797,0.891083127044053,0.863222232932791,0.691276461444736,0.830965905878328,0.767680200705193,0.600531850395706,0.501265463630053,0.400235538728829,0.301746805101909,0.222454899146423,0.150535653570887,0.095016535997738,0.0631828631051111,0.0403948608451552,0.0347703025640173
1378.57142857143,0.908395532622554,0.892587494835462,0.865098877337422,0.688072732452885,0.82898764897966,0.764689510132074,0.59579187588359,0.496810819236018,0.396640626812765,0.298317468435519,0.219257825998734,0.148300553325598,0.0929624938141738,0.0611870663589347,0.0390792329156252,0.0339626724470252
1385.71428571429,0.912483241594113,0.894113097439358,0.86688470026974,0.684932611492856,0.827105811237695,0.761824824592339,0.591226396392704,0.492492328648602,0.393111796046328,0.29498534482578,0.216118701180711,0.146077735332871,0.0909131477465421,0.0591921763474953,0.0377372769245028,0.0331285873545519
1392.85714285714,0.916366469831408,0.895659535091597,0.868566580115545,0.681858423263242,0.825334550231048,0.759099871142473,0.586850454810213,0.488318816525185,0.389651243924667,0.291756094899159,0.213039419200843,0.143867306147116,0.0888685142393357,0.0571981936912562,0.0363696651439175,0.03226905987389
1400,0.920024422990372,0.897226408028034,0.87013139526064,0.678852492462633,0.823688023538333,0.756528376838961,0.582679094023282,0.484299107523144,0.38626116794293,0.288635379282125,0.210021874567619,0.141669372322748,0.0868286097370475,0.0552051190106807,0.0349770698459983,0.0313851025923321
1407.14285714286,0.923436306726939,0.898813316484525,0.871566024090825,0.675917143789623,0.822180388738166,0.754124068738288,0.578727356919075,0.480442026299856,0.382943765596267,0.285628858601147,0.207067961789529,0.139484040414177,0.0847934506841698,0.0532129529262321,0.0335601633028743,0.030477728097171
1414.28571428571,0.926581326697043,0.900419860696924,0.872857344991902,0.673054701942802,0.820825803409161,0.751900673896939,0.575010286384756,0.476756397512699,0.379701234379825,0.282742193482692,0.204179575375061,0.137311416975817,0.0827630535251956,0.0512216960583737,0.0321196177866748,0.0295479489756992
1421.42857142857,0.929438688556616,0.902045640901088,0.873992236349673,0.670267491620764,0.819638425129933,0.7498719193714,0.57154292530749,0.473251045819052,0.376535771788752,0.279981044553229,0.201358609832705,0.135151608562078,0.0807374347046173,0.0492313490275686,0.030656105569529,0.0285967778152094
1428.57142857143,0.931987597961593,0.903690257332871,0.874957576549939,0.667557837522099,0.818632411479097,0.748051532218154,0.568340316574442,0.469934795876292,0.373449575318198,0.277351072439227,0.198606959670949,0.133004721727375,0.0787166106669279,0.0472419124542804,0.0291702989235661,0.0276252272029942
1435.71428571429,0.934207260567908,0.905353310228128,0.875740243978502,0.664928064345401,0.817821920035268,0.746453239493688,0.565417503072774,0.466816472341796,0.370444842463311,0.274857937767153,0.195926519398283,0.130870863026118,0.0767005978566197,0.0452533869589721,0.0276628701209151,0.0266343097263462
1442.85714285714,0.936131818019944,0.907046281993295,0.876352505142378,0.662290285049445,0.817164105060805,0.745018698916293,0.562680462884677,0.463799344508273,0.367419465219045,0.272423880645934,0.193225928325709,0.128664464816112,0.0746050516491337,0.0431805585079697,0.0260614911733102,0.0255783329464471
1450,0.937893979534297,0.908793062209235,0.876859815916008,0.659463959887933,0.816529979603138,0.74358973397132,0.559896555031637,0.460664993848421,0.364165274274138,0.269877827815878,0.190319153403193,0.126216536832057,0.0722636758354446,0.0408554670540414,0.0242214877115745,0.024364050973318
1457.14285714286,0.939516309478783,0.910585350612556,0.87728389957722,0.656514391021098,0.815919994198515,0.742180334676561,0.557105383765445,0.45747019417243,0.360759351265277,0.267268872564759,0.187275335841104,0.123595855139528,0.0697444769352764,0.0383468586557801,0.0221995913120315,0.0230258867349
1464.28571428571,0.941015660377372,0.912413429638268,0.877643995596113,0.653517672567272,0.815340855470878,0.740812585813684,0.554359057751412,0.454284075848835,0.357291277578028,0.264655931880508,0.18417479546885,0.120881538199976,0.0671256492733895,0.0357337709691358,0.0200613201694091,0.0216038589200376
1471.42857142857,0.942408884754039,0.914267581721376,0.877959343442786,0.650549898644788,0.81479927004417,0.739508572164361,0.55170968565485,0.45117576924617,0.353850634597957,0.262097922751057,0.181097852115838,0.118152704474852,0.0644853871745444,0.0330952416500588,0.0178721924784351,0.0201379862175753
1478.57142857143,0.943712835132754,0.916138089296889,0.87824918258734,0.647687163371981,0.814301944542334,0.738290378510261,0.549209376141068,0.448214404732971,0.35052700371063,0.259653762164338,0.178124825611474,0.115488472425608,0.0619018849635015,0.030510308354499,0.0156977264338372,0.0186682873163574
1485.71428571429,0.944944364037491,0.918015234799815,0.878532752499873,0.645005560867184,0.813855585589313,0.737180089633056,0.546910237875378,0.445469112677771,0.347409966301614,0.257382367108282,0.175336035785164,0.112967960513696,0.0594533369650213,0.0280580087384067,0.0136034402303436,0.0172347809052287
1492.85714285714,0.946120323992222,0.91988930066516,0.878829292650484,0.64258118524873,0.813466899809049,0.736199790314414,0.54486437952309,0.443009023449105,0.344589103756473,0.255342654570823,0.172811802466316,0.110670287200568,0.0572179375038642,0.025817380457732,0.0116548520626818,0.0158774856730334
1500,0.947257567520919,0.921750569327933,0.879158042509274,0.640490130634953,0.813142593825486,0.735371565336008,0.543123909749516,0.440903267415508,0.342153997460775,0.253593541539891,0.170632445484336,0.108674570947674,0.0552738809047907,0.0238674611684249,0.00991748012557992,0.0146364203086162
1507.14285714286,0.948372947147556,0.92358932322314,0.879538241546341,0.638808491144185,0.812889374262565,0.734717499479507,0.541740937219966,0.439220974945514,0.340194228800085,0.252193945003418,0.168878284668631,0.107059930216466,0.0536993614925611,0.0222872885264356,0.00845684261376566,0.0135516035008215
1514.28571428571,0.949483315396104,0.925395844785791,0.879989129231785,0.637612360894762,0.81271394774423,0.734259677526581,0.540767570599751,0.438031276407657,0.33879937915997,0.251202781949337,0.167629639848607,0.105905483468396,0.052572573591936,0.0211559001877141,0.0073384577219669,0.0126630539384937
1521.42857142857,0.950605524790536,0.927160416450891,0.880529945035705,0.636977834005015,0.812623020894423,0.734020184258901,0.540255918554183,0.437403302170473,0.338059029925995,0.250678969365579,0.16696683085367,0.105290349164916,0.0519717115276757,0.0205523338082106,0.0066278436449115,0.0120107903104774
1528.57142857143,0.951765308006638,0.928889628174403,0.881192705293562,0.636993434397911,0.812702230143382,0.734061876330779,0.540273264565016,0.437416107840102,0.338046607621005,0.250684266129665,0.166937280936039,0.105246686221125,0.0519133370965684,0.0204802689840419,0.00632780440284515,0.0115986944199248
1535.71428571429,0.953013585253787,0.930666888349655,0.882060614378072,0.637755190153043,0.813401086483265,0.734625116384568,0.540923801783782,0.438149571277888,0.338702304175479,0.251256643339917,0.167382877466995,0.105536241152198,0.0520741058696402,0.0205365340714437,0.00610327708800842,0.0112360226602683
1542.85714285714,0.954326988742675,0.932486726838143,0.883133242551415,0.639211977201129,0.814726580477684,0.735705413560254,0.542175237971518,0.4395580269283,0.339965480955453,0.252360755848933,0.168246130489349,0.106100157610122,0.0523894571463772,0.0206479862624829,0.00589497580079447,0.0108910298825557
1550,0.955671135729348,0.934326841628476,0.884395972511566,0.641294170016419,0.816603353498452,0.737254576972384,0.543975776693653,0.441580461339001,0.341785825269826,0.253954194705596,0.169497885179213,0.106922581607882,0.052852935689138,0.0208135007045359,0.0057036292543459,0.0105665588256097
1557.14285714286,0.957011643469854,0.936164930709264,0.885834186956503,0.643932143073161,0.818956046917379,0.739224415735505,0.546273621515619,0.444155861057649,0.344113024427496,0.255994550958788,0.171108986712702,0.107987659158465,0.0534580862602809,0.0210319525449792,0.00552996616180532,0.0102654522282527
1564.28571428571,0.958314129220239,0.937978692069116,0.887433268584205,0.647056270845606,0.821709302106278,0.741566738964164,0.549016976002844,0.447223212631905,0.346896765737359,0.258439415657392,0.173050280265929,0.109279536274857,0.0541984536221645,0.0213022169311892,0.00537471523631531,0.00999055282930726
1571.42857142857,0.95954421023655,0.939745823696641,0.889178600092648,0.650596927808002,0.82478776043696,0.744233355772908,0.55215404372076,0.450721502609429,0.350086736508313,0.26124637985029,0.175292611015006,0.110782358970044,0.0550675825371471,0.0216231690105422,0.0052386051910185,0.00974470336759605
1578.57142857143,0.960667503774835,0.941444023580447,0.891055564179811,0.654484488434599,0.828116063281238,0.747176075276285,0.555633028234796,0.454589717537883,0.353632624049256,0.264373034586364,0.177806824136048,0.112480273257012,0.0560590177675874,0.0219936839304146,0.00512236473905746,0.00953074658194156
1585.71428571429,0.961649627091141,0.943050989709144,0.893049543543671,0.658649327199645,0.831618852010922,0.750346706588841,0.559402133110383,0.458766843964925,0.357484115669086,0.267776970914498,0.180563764805167,0.114357425148746,0.0571663040758436,0.0224126368381829,0.00502672259357481,0.00935152521116637
1592.85714285714,0.962456197441514,0.944544420071342,0.895145920882206,0.663021818577391,0.835220767997825,0.753697058825124,0.563409561912951,0.463191868438216,0.361590898676701,0.271415779883573,0.183534278198477,0.116397960658232,0.0583829862242742,0.0228789028812234,0.00495240746771314,0.00920988199409302
1600,0.963052832082003,0.945902012655649,0.897330078893392,0.667532337042086,0.838846452613759,0.757178941099681,0.567603518207929,0.467803777505418,0.365902660380997,0.275247052542472,0.186689209492091,0.118586025798457,0.0597026089752377,0.0233913572069126,0.00490014807461505,0.00910865966954408
1607.14285714286,0.963405148268653,0.947101465450674,0.899587400275209,0.672111257067979,0.842420547230535,0.760744162527058,0.571932205560748,0.472541557714189,0.370369088090873,0.279228379940077,0.189999403862122,0.120905766582407,0.0611187170910926,0.0239488749626268,0.00487067312742315,0.0090507009763421
1614.28571428571,0.963487944704088,0.948126207337205,0.901911638076035,0.676715474162949,0.845882176751467,0.76436894484715,0.576379331129881,0.477379030644785,0.374979967046777,0.283356215030336,0.193478499036992,0.123384311900199,0.0626696500297033,0.0245965793743364,0.00490728982246408,0.0090739496191232
1621.42857142857,0.963474562029978,0.9490838874565,0.904471699801427,0.681865001565174,0.849491045425186,0.768542301511403,0.581667968055397,0.48301902428136,0.38055726405483,0.288431319219053,0.198019658915996,0.126927533296032,0.0653060113102964,0.0263195198013162,0.00591803539983529,0.00992843400441144
1628.57142857143,0.963433196353652,0.9500172547329,0.907326133606619,0.68775039561533,0.853359306046539,0.773436195758423,0.588044243276491,0.489705238568544,0.387377182818693,0.294720006090968,0.203912332998004,0.131823258452434,0.0693255805407436,0.0294239374585389,0.00818446992256872,0.0118457817442661
1635.71428571429,0.963351474125194,0.950918873810059,0.910457930248783,0.694325746720084,0.857474672693008,0.779002922767251,0.595432515984945,0.497366947616617,0.395351490659183,0.302134587125608,0.211053955537181,0.137963865962089,0.0746127522334264,0.0337885787874501,0.0115943565879259,0.0147326989495532
1642.85714285714,0.963217021794691,0.95178130933163,0.91385008048509,0.701545145286105,0.861824859442077,0.785194777716927,0.60375714537254,0.50593342553586,0.404391954897121,0.310587373802498,0.219341960787691,0.145241734417682,0.081051920900727,0.0392921902294958,0.0160354585931684,0.0184958917311389
1650,0.963017465812226,0.952597125941266,0.91748557507271,0.709362681720062,0.866397580371229,0.791964055786491,0.612942490631057,0.515333946436553,0.414410342853325,0.319990677601164,0.2286737830037,0.153549242411895,0.0885274810550272,0.0458135182261218,0.021395539135558,0.0230420661998896
1657.14285714286,0.962740432627885,0.953358888282623,0.921347404768814,0.717732446428623,0.871180549557947,0.799263052154984,0.622912910952277,0.525497784428978,0.425318421848613,0.330256810001132,0.238946856439373,0.162778768537412,0.096923827208709,0.0532313092187739,0.0275623614123563,0.0282779284666713
1664.28571428571,0.962373548691754,0.954059160999354,0.925418560330574,0.726608529818455,0.876161481079714,0.807044062001446,0.63359276552798,0.536354213623415,0.437027959203806,0.341298082481926,0.250058615348875,0.172822691386918,0.106125353874154,0.0614243096488979,0.0344236886208249,0.0341101846423502
1671.42857142857,0.961904440453915,0.954690508735112,0.929682032515162,0.735945022296229,0.881328089014014,0.815259380504917,0.64490641354995,0.547832508130144,0.449450722239722,0.353026806523073,0.261906493986372,0.183573389553095,0.116016455563745,0.0702712659579396,0.0418672839582254,0.0404455408377925
1678.57142857143,0.961320734364456,0.955245496133552,0.934120812079747,0.745696014268612,0.886668087438329,0.823861302844437,0.656778214209965,0.559861942059447,0.462498478277181,0.365355293604099,0.274387926606027,0.194923241628629,0.126481526789863,0.0796509245873451,0.0497809106218198,0.0471907031638647
1685.71428571429,0.96061005687346,0.955716687838327,0.938717889781501,0.755815596142273,0.892169190430143,0.832802124199048,0.669132526699808,0.572371789521603,0.476082994637001,0.378195855204528,0.287400347462007,0.206764626206202,0.13740496206489,0.0894420319785596,0.0580523318088692,0.0542523777314325
1692.85714285714,0.959760034431013,0.956096648493092,0.943456256377595,0.766257858323879,0.897819112066939,0.842034139747789,0.681893710211259,0.585291324626894,0.490116038640001,0.391460802803886,0.300841190808476,0.218989921878497,0.148671155901209,0.0995233345730293,0.0665693107166353,0.0615372706513622
1700,0.9587582934872,0.9563779427415,0.9483189026252,0.7769768912201,0.9036055664262,0.8515096446697,0.6949861239361,0.5985498214856,0.504509377607,0.4050624478817,0.3146078908996,0.2314915072382,0.1601645028112,0.1097735788122,0.07521961054238,0.06895208803452
